number,language,strongs_def,derivation,translit,lemma,kjv_def,xlit,pron
G3542,G," pasture, i.e. (the act) feeding (figuratively, spreading of a gangrene), or (the food) pasturage",feminine from the same as G3551 (νόμος);,nomḗ,νομή,"X eat, pasture",,
G5024,G, in the same way,neuter plural of G3588 (ὁ) and G846 (αὐτός) as adverb;,tautá,ταὐτά,"even thus, (manner) like, so",,
G2141,G," (intransitively) to be good for passing through, i.e. (figuratively) have pecuniary means",from a compound of G2090 (ἑτοιμάζω) and the base of G4197 (πορεία);,euporéō,εὐπορέω,ability,,
G3982,G," to convince (by argument, true or false); by analogy, to pacify or conciliate (by other fair means); reflexively or passively, to assent (to evidence or authority), to rely (by inward certainty)",a primary verb;,peíthō,πείθω,"agree, assure, believe, have confidence, be (wax) conflent, make friend, obey, persuade, trust, yield",,
G2597,G, to descend (literally or figuratively),from G2596 (κατά) and the base of G939 (βάσις);,katabaínō,καταβαίνω,"come (get, go, step) down, fall (down)",,
G11,G," Abraham, the Hebrew patriarch",of Hebrew origin (H085);,Abraám,Ἀβραάμ,Abraham,,
G2441,G, clothing,from G2439 (ἱματίζω);,himatismós,ἱματισμός,"apparel (X -led), array, raiment, vesture",,
G5240,G," to pour out over, i.e. (passively) to overflow",from G5228 (ὑπέρ) and the alternate form of G1632 (ἐκχέω);,hyperekchýnō,ὑπερεκχύνω,run over,,
G4187,G," in many ways, i.e. variously as to method or form",adverb from a compound of G4183 (πολύς) and G5158 (τρόπος);,polytrópōs,πολυτρόπως,in divers manners,,
G3975,G," to thicken, i.e. (by implication) to fatten (figuratively, stupefy or render callous)",from a derivative of G4078 (πήγνυμι) (meaning thick);,pachýnō,παχύνω,wax gross,,
G3743,G, piously,adverb from G3741 (ὅσιος);,hosíōs,ὁσίως,holily,,
G1881,G," to stand up on, i.e. (figuratively) to attack",middle voice from G1909 (ἐπί) and G450 (ἀνίστημι);,epanístamai,ἐπανίσταμαι,rise up against,,
G3166,G," akin to G837 (αὐξάνω) and G2744 (καυχάομαι)); to talk big, i.e. be grandiloquent (arrogant, egotistic)",from a compound of G3173 (μέγας) and (to boast;,megalauchéō,μεγαλαυχέω,boast great things,,
G4728,G, narrow (from obstacles standing close about),probably from the base of G2476 (ἵστημι);,stenós,στενός,strait,,
G1132,G, nudity (absolute or comparative),from G1131 (γυμνός);,gymnótēs,γυμνότης,nakedness,,
G1781,G, to enjoin,from G1722 (ἐν) and the base of G5056 (τέλος);,entéllomai,ἐντέλλομαι,"(give) charge, (give) command(-ments), injoin",,
G376,G, crippled,from G303 (ἀνά) (in the sense of intensity) and (maimed);,anápēros,ἀνάπηρος,maimed,,
G3065,G," Lucas, a Christian",contracted from Latin Lucanus;,Loukâs,Λουκᾶς,"Lucas, Luke",,
G5588,G, a secret calumniator,from the same as G5587 (ψιθυρισμός);,psithyristḗs,ψιθυριστής,whisperer,,
G5190,G," fortuitous, i.e. fortunate; Tychicus, a Christian",from a derivative of G5177 (τυγχάνω);,Tychikós,Τυχικός,Tychicus,,
G2787,G," a box, i.e. the sacred ark and that of Noah",of uncertain derivation;,kibōtós,κιβωτός,ark,,
G1431,G, a gratuity,from G1435 (δῶρον);,dōreá,δωρεά,gift,,
G1984,G," inspection (for relief); by implication, superintendence; specially, the Christian ""episcopate""",from G1980 (ἐπισκέπτομαι);,episkopḗ,ἐπισκοπή,"the office of a ""bishop"", bishoprick, visitation",,
G1243,G, a distinction or (concretely) variety,from G1244 (διαιρέω);,diaíresis,διαίρεσις,"difference, diversity",,
G79,G, a sister (naturally or ecclesiastically),feminine of G80 (ἀδελφός);,adelphḗ,ἀδελφή,sister,,
G256,G," Alphæus, an Israelite",of Hebrew origin (compare H02501);,Alphaîos,Ἀλφαῖος,Alpheus,,
G2803,G," Claudia, a Christian woman",feminine of G2804 (Κλαύδιος);,Klaudía,Κλαυδία,Claudia,,
G5229,G," to raise oneself over, i.e. (figuratively) to become haughty",middle voice from G5228 (ὑπέρ) and G142 (αἴρω);,hyperaíromai,ὑπεραίρομαι,"exalt self, be exalted above measure",,
G3846,G," to throw alongside, i.e. (reflexively) to reach a place, or (figuratively) to liken",from G3844 (παρά) and G906 (βάλλω);,parabállō,παραβάλλω,"arrive, compare",,
G835,G," to pass the night (properly, in the open air)",middle voice from G833 (αὐλή);,aulízomai,αὐλίζομαι,"abide, lodge",,
G2231,G," government, i.e. (in time) official term",from G2232 (ἡγεμών);,hēgemonía,ἡγεμονία,reign,,
G2045,G," to seek, i.e. (figuratively) to investigate",apparently from G2046 (ἐρέω) (through the idea of inquiry);,ereunáō,ἐρευνάω,search,,
G4318,G, admission,from G4317 (προσάγω) (compare G72 (ἀγωγή));,prosagōgḗ,προσαγωγή,access,,
G2107,G," satisfaction, i.e. (subjectively) delight, or (objectively) kindness, wish, purpose",from a presumed compound of G2095 (εὖ) and the base of G1380 (δοκέω);,eudokía,εὐδοκία,"desire, good pleasure (will), X seem good",,
G4894,G," to see completely; used (like its primary) only in two past tenses, respectively meaning to understand or become aware, and to be conscious or (clandestinely) informed of",from G4862 (σύν) and G1492 (εἴδω);,syneídō,συνείδω,"consider, know, be privy, be ware of",,
G3454,G," a tale, i.e. fiction (""myth"")",perhaps from the same as G3453 (μυέω) (through the idea of tuition);,mŷthos,μῦθος,fable,,
G1467,G, to exercise self-restraint (in diet and chastity),middle voice from G1468 (ἐγκρατής);,enkrateúomai,ἐγκρατεύομαι,"can(-not) contain, be temperate",,
G3864,G," along the sea, i.e. maritime (lacustrine)",from G3844 (παρά) and G2281 (θάλασσα);,parathalássios,παραθαλάσσιος,upon the sea coast,,
G711,G," best counselling; Aristoboulus, a Christian",from the same as G712 (ἄριστον) and G1012 (βουλή);,Aristóboulos,Ἀριστόβουλος,Aristobulus,,
G609,G, to amputate; reflexively (by irony) to mutilate (the privy parts),from G575 (ἀπό) and G2875 (κόπτω);,apokóptō,ἀποκόπτω,cut off,,
G2718,G, to come (or go) down (literally or figuratively),from G2596 (κατά) and G2064 (ἔρχομαι) (including its alternate);,katérchomai,κατέρχομαι,"come (down), depart, descend, go down, land",,
G4649,G," perhaps akin to G4626 (σκάπτω) through the idea of concealment; compare G4629 (σκέπασμα)); a watch (sentry or scout), i.e. (by implication) a goal","from (to peer about (""skeptic"");",skopós,σκοπός,mark,,
G2335,G," spectatorship, i.e. (concretely) a spectacle",from the same as G2334 (θεωρέω);,theōría,θεωρία,sight,,
G2665,G," something spread thoroughly, i.e. (specially) the door screen (to the Most Holy Place) in the Jewish Temple",from a compound of G2596 (κατά) and a congener of G4072 (πέτομαι);,katapétasma,καταπέτασμα,vail,,
G5544,G," usefulness, i.e. morally, excellence (in character or demeanor)",from G5543 (χρηστός);,chrēstótēs,χρηστότης,"gentleness, good(-ness), kindness",,
G1451,G," akin to the base of G43 (ἀγκάλη)); near (literally or figuratively, of place or time)",from a primary verb (to squeeze or throttle;,engýs,ἐγγύς,"from , at hand, near, nigh (at hand, unto), ready",,
G4357,G," to stay further, i.e. remain in a place, with a person; figuratively, to adhere to, persevere in",from G4314 (πρός) and G3306 (μένω);,prosménō,προσμένω,"abide still, be with, cleave unto, continue in (with)",,
G5587,G," by implication, a slander; probably akin to G5574 (ψεύδομαι)); whispering, i.e. secret detraction",from a derivative of (a whisper;,psithyrismós,ψιθυρισμός,whispering,,
G1991,G," to support further, i.e. reestablish",from G1909 (ἐπί) and G4741 (στηρίζω);,epistērízō,ἐπιστηρίζω,"confirm, strengthen",,
G5044,G," to be a childrearer, i.e. fulfil the duties of a female parent",from a compound of G5043 (τέκνον) and G5142 (τρέφω);,teknotrophéō,τεκνοτροφέω,bring up children,,
G4750,G," the mouth (as if a gash in the face); by implication, language (and its relations); figuratively, an opening (in the earth); specially, the front or edge (of a weapon)",probably strengthened from a presumed derivative of the base of G5114 (τομώτερος);,stóma,στόμα,"edge, face, mouth",,
G2078,G," farthest, final (of place or time)",a superlative probably from G2192 (ἔχω) (in the sense of contiguity);,éschatos,ἔσχατος,"ends of, last, latter end, lowest, uttermost",,
G2177,G, to spring upon,from G1909 (ἐπί) and G242 (ἅλλομαι);,ephállomai,ἐφάλλομαι,leap on,,
G3033,G," Libye, a region of Africa",probably from G3047 (λίψ);,Libýē,Λιβύη,Libya,,
G2019,G," to call at something, i.e. exclaim",from G1909 (ἐπί) and G5455 (φωνέω);,epiphōnéō,ἐπιφωνέω,"cry (against), give a shout",,
G402,G, to retire,from G303 (ἀνά) and G5562 (χωρέω);,anachōréō,ἀναχωρέω,"depart, give place, go (turn) aside, withdraw self",,
G3498,G, dead (literally or figuratively; also as noun),from an apparently primary (a corpse);,nekrós,νεκρός,dead,,
G2224,G, to bind about (especially with a belt),from G2223 (ζώνη);,zṓnnymi,ζώννυμι,gird,,
G5040,G," an infant, i.e. (plural figuratively) darlings (Christian converts)",diminutive of G5043 (τέκνον);,tekníon,τεκνίον,little children,,
G293,G, a (fishing) net (as thrown about the fish),from a compound of the base of G297 (ἀμφότερος) and G906 (βάλλω);,amphíblēstron,ἀμφίβληστρον,net,,
G3655,G, a thunder storm,of uncertain affinity;,ómbros,ὄμβρος,shower,,
G499,G," corresponding (""antitype""), i.e. a representative, counterpart",neuter of a compound of G473 (ἀντί) and G5179 (τύπος);,antítypon,ἀντίτυπον,(like) figure (whereunto),,
G599,G, to die off (literally or figuratively),from G575 (ἀπό) and G2348 (θνήσκω);,apothnḗskō,ἀποθνήσκω,"be dead, death, die, lie a-dying, be slain (X with)",,
G4205,G," akin to the base of G4097 (πιπράσκω)); a (male) prostitute (as venal), i.e. (by analogy) a debauchee (libertine)",from (to sell;,pórnos,πόρνος,"fornicator, whoremonger",,
G1274,G, to accomplish thoroughly,from G1223 (διά) and (to effect);,dianýō,διανύω,finish,,
G219,G," cock-crow, i.e. the third night-watch",from G220 (ἀλέκτωρ) and G5456 (φωνή);,alektorophōnía,ἀλεκτοροφωνία,cockcrowing,,
G3455,G, to bellow (roar),"from a presumed derivative of ( to ""moo"");",mykáomai,μυκάομαι,roar,,
G687,G,,"a form of G686 (ἄρα), denoting an interrogation to which a negative answer is presumed",âra,ἆρα,therefore,,
G811,G, dissolutely,adverb from the same as G810 (ἀσωτία);,asṓtōs,ἀσώτως,riotous,,
G444,G," from G3700 (ὀπτάνομαι)); man-faced, i.e. a human being",from G435 (ἀνήρ) and (the countenance;,ánthrōpos,ἄνθρωπος,"certain, man",,
G2947,G," compare G2945 (κύκλῳ), G1507 (εἱλίσσω)); to roll about",from the base of G2949 (κῦμα) (through the idea of circularity;,kylióō,κυλιόω,wallow,,
G2316,G," figuratively, a magistrate; by Hebraism, very","of uncertain affinity; a deity, especially (with G3588 (ὁ)) the supreme Divinity;",theós,θεός,"X exceeding, God, god(-ly, -ward)",,
G1339,G," to stand apart, i.e. (reflexively) to remove, intervene",from G1223 (διά) and G2476 (ἵστημι);,diḯstēmi,διΐστημι,"go further, be parted, after the space of",,
G5521,G," ""gall"" or bile, i.e. (by analogy) poison or an anodyne (wormwood, poppy, etc.)",feminine of an equivalent perhaps akin to the same as 5514 (from the greenish hue);,cholḗ,χολή,gall,,
G2154,G," well indicated, i.e. (figuratively) significant",from G2095 (εὖ) and the base of G4591 (σημαίνω);,eúsēmos,εὔσημος,easy to be understood,,
G4238,G," to ""practise"", i.e. perform repeatedly or habitually (thus differing from G4160 (ποιέω), which properly refers to a single act); by implication, to execute, accomplish, etc.; specially, to collect (dues), fare (personally)",a primary verb;,prássō,πράσσω,"commit, deeds, do, exact, keep, require, use arts",,
G4592,G," an indication, especially ceremonially or supernaturally",neuter of a presumed derivative of the base of G4591 (σημαίνω);,sēmeîon,σημεῖον,"miracle, sign, token, wonder",,
G4756,G," from the base of G4766 (στρώννυμι), as encamped); camp-likeness, i.e. an army, i.e. (figuratively) the angels, the celestial luminaries",feminine of a derivative of (an army;,stratiá,στρατιά,host,,
G4579,G," to rock (vibrate, properly, sideways or to and fro), i.e. (generally) to agitate (in any direction; cause to tremble); figuratively, to throw into a tremor (of fear or concern)",apparently a primary verb;,seíō,σείω,"move, quake, shake",,
G73,G," properly, a place of assembly (as if led), i.e. (by implication) a contest (held there); figuratively, an effort or anxiety",from G71 (ἄγω);,agṓn,ἀγών,"conflict, contention, fight, race",,
G2390,G, to cure (literally or figuratively),middle voice of apparently a primary verb;,iáomai,ἰάομαι,"heal, make whole",,
G5601,G," Obed, an Israelite",of Hebrew origin (H05744);,Ōbḗd,Ὠβήδ,Obed,,
G555,G, divestment,from G554 (ἀπεκδύομαι);,apékdysis,ἀπέκδυσις,putting off,,
G5405,G," Phœnix, a place in Crete",probably the same as G5404 (φοῖνιξ);,Phoînix,Φοῖνιξ,Phenice,,
G4575,G," venerable (august), i.e. (as noun) a title of the Roman Emperor, or (as adjective) imperial",from G4573 (σεβάζομαι);,sebastós,σεβαστός,Augustus(-'),,
G2311,G," to lay a basis for, i.e. (literally) erect, or (figuratively) consolidate",from G2310 (θεμέλιος);,themelióō,θεμελιόω,"(lay the) found(- ation), ground, settle",,
G740,G, bread (as raised) or a loaf,from G142 (αἴρω);,ártos,ἄρτος,"(shew-)bread, loaf",,
G5202,G," to be a water-drinker, i.e. to abstain from vinous beverages",from a compound of G5204 (ὕδωρ) and a derivative of G4095 (πίνω);,hydropotéō,ὑδροποτέω,drink water,,
G1477,G," a support, i.e. (figuratively) basis",from a derivative of G1476 (ἑδραῖος);,hedraíōma,ἑδραίωμα,ground,,
G5533,G," a loan-ower, i.e. indebted person",from a derivative of G5531 (χράω) and G3781 (ὀφειλέτης);,chreōpheilétēs,χρεωφειλέτης,debtor,,
G487,G, a redemption-price,from G473 (ἀντί) and G3083 (λύτρον);,antílytron,ἀντίλυτρον,ransom,,
G3116,G," with long (enduring) temper, i.e. leniently",adverb of a compound of G3117 (μακρός) and G2372 (θυμός);,makrothymṓs,μακροθυμώς,patiently,,
